Jurisdiction,Measure Names,Measure Values
Wright,7-Day Doses Administered,0
Worth,7-Day Doses Administered,0
Webster,7-Day Doses Administered,0
Wayne,7-Day Doses Administered,0
Washington,7-Day Doses Administered,0
Warren,7-Day Doses Administered,0
Vernon,7-Day Doses Administered,0
Unknown Jurisdiction,7-Day Doses Administered,0
Texas,7-Day Doses Administered,0
Taney,7-Day Doses Administered,0
Sullivan,7-Day Doses Administered,0
Stone,7-Day Doses Administered,0
Stoddard,7-Day Doses Administered,0
Ste. Genevieve,7-Day Doses Administered,0
St. Louis City,7-Day Doses Administered,0
St. Louis,7-Day Doses Administered,0
St. Francois,7-Day Doses Administered,0
St. Clair,7-Day Doses Administered,0
St. Charles,7-Day Doses Administered,0
Shelby,7-Day Doses Administered,0
Shannon,7-Day Doses Administered,0
Scott,7-Day Doses Administered,0
Scotland,7-Day Doses Administered,0
Schuyler,7-Day Doses Administered,0
Saline,7-Day Doses Administered,0
Ripley,7-Day Doses Administered,0
Reynolds,7-Day Doses Administered,0
Ray,7-Day Doses Administered,0
Randolph,7-Day Doses Administered,0
Ralls,7-Day Doses Administered,0
Putnam,7-Day Doses Administered,0
Pulaski,7-Day Doses Administered,0
Polk,7-Day Doses Administered,0
Platte,7-Day Doses Administered,0
Pike,7-Day Doses Administered,0
Phelps,7-Day Doses Administered,0
Pettis,7-Day Doses Administered,0
Perry,7-Day Doses Administered,0
Pemiscot,7-Day Doses Administered,0
Ozark,7-Day Doses Administered,0
Osage,7-Day Doses Administered,0
Oregon,7-Day Doses Administered,0
Nodaway,7-Day Doses Administered,0
Newton,7-Day Doses Administered,0
New Madrid,7-Day Doses Administered,0
Morgan,7-Day Doses Administered,0
Montgomery,7-Day Doses Administered,0
Monroe,7-Day Doses Administered,0
Moniteau,7-Day Doses Administered,0
Mississippi,7-Day Doses Administered,0
Miller,7-Day Doses Administered,0
Mercer,7-Day Doses Administered,0
McDonald,7-Day Doses Administered,0
Marion,7-Day Doses Administered,0
Maries,7-Day Doses Administered,0
Madison,7-Day Doses Administered,0
Macon,7-Day Doses Administered,0
Livingston,7-Day Doses Administered,0
Linn,7-Day Doses Administered,0
Lincoln,7-Day Doses Administered,0
Lewis,7-Day Doses Administered,0
Lawrence,7-Day Doses Administered,0
Lafayette,7-Day Doses Administered,0
Laclede,7-Day Doses Administered,0
Knox,7-Day Doses Administered,0
Kansas City,7-Day Doses Administered,0
Joplin,7-Day Doses Administered,0
Johnson,7-Day Doses Administered,0
Jefferson,7-Day Doses Administered,0
Jasper,7-Day Doses Administered,0
Jackson,7-Day Doses Administered,0
Iron,7-Day Doses Administered,0
Independence,7-Day Doses Administered,0
Howell,7-Day Doses Administered,0
Howard,7-Day Doses Administered,0
