Income (Median household income) for Missouri by County
"All Races (includes Hispanic/Latino), Both Sexes, All Ages, 2019-2023"
Sorted by Value

County,FIPS,Value (Dollars),Rank within US (of 3141 counties)
"Missouri",29000,"68,920","41 of 52"
"United States",00000,"78,538","N/A"
"Hickory County",29085,"35,084","3,109"
"Pemiscot County",29155,"40,748","3,040"
"Ozark County",29153,"42,329","2,989"
"Wayne County",29223,"43,393","2,968"
"Ripley County",29181,"43,898","2,954"
"Oregon County",29149,"44,259","2,941"
"Reynolds County",29179,"44,357","2,938"
"Carter County",29035,"45,083","2,909"
"Cedar County",29039,"45,577","2,892"
"Worth County",29227,"46,167","2,874"
"Mississippi County",29133,"46,258","2,866"
"St. Clair County",29185,"46,731","2,856"
"Wright County",29229,"47,304","2,831"
"Dunklin County",29069,"47,368","2,826"
"Texas County",29215,"48,055","2,789"
"McDonald County",29119,"48,145","2,787"
"Monroe County",29137,"48,299","2,779"
"Butler County",29023,"49,213","2,733"
"New Madrid County",29143,"49,237","2,732"
"Barton County",29011,"49,503","2,719"
"Morgan County",29141,"49,663","2,707"
"Howell County",29091,"49,814","2,698"
"Douglas County",29067,"49,828","2,697"
"Dade County",29057,"49,899","2,693"
"Laclede County",29105,"50,825","2,627"
"Iron County",29093,"51,161","2,605"
"Clark County",29045,"51,458","2,589"
"Washington County",29221,"51,886","2,566"
"Shelby County",29205,"52,127","2,548"
"Benton County",29015,"52,200","2,543"
"Lewis County",29111,"52,340","2,529"
"Dallas County",29059,"53,177","2,477"
"Knox County",29103,"53,333","2,469"
"Harrison County",29081,"53,364","2,467"
"Grundy County",29079,"53,839","2,434"
"Stoddard County",29207,"54,067","2,419"
"Dent County",29065,"54,306","2,396"
"Vernon County",29217,"54,519","2,382"
"St. Francois County",29187,"54,813","2,367"
"Miller County",29131,"55,172","2,344"
"St. Louis City",29510,"55,279","2,337"
"Randolph County",29175,"55,310","2,334"
"Phelps County",29161,"55,427","2,317"
"Sullivan County",29211,"55,500","2,308"
"Lawrence County",29109,"55,849","2,281"
"Nodaway County",29147,"55,970","2,275"
"Schuyler County",29197,"56,023","2,269"
"Audrain County",29007,"56,232","2,256"
"Crawford County",29055,"56,345","2,249"
"Saline County",29195,"56,566","2,230"
"Adair County",29001,"56,583","2,228"
"Barry County",29009,"56,611","2,227"
"Henry County",29083,"56,621","2,226"
"Polk County",29167,"56,686","2,215"
"Putnam County",29171,"56,875","2,199"
"Bollinger County",29017,"57,286","2,163"
"Gentry County",29075,"57,458","2,152"
"Greene County",29077,"57,488","2,149"
"Jasper County",29097,"57,525","2,145"
"Pike County",29163,"57,572","2,140"
"Bates County",29013,"57,914","2,117"
"Taney County",29213,"58,258","2,089"
"Macon County",29121,"58,318","2,082"
"Madison County",29123,"58,435","2,070"
"Holt County",29087,"58,516","2,064"
"Scott County",29201,"58,847","2,043"
"Shannon County",29203,"59,000","2,021"
"Atchison County",29005,"59,260","1,990"
"Buchanan County",29021,"59,423","1,969"
"Livingston County",29117,"60,148","1,901"
"Pettis County",29159,"60,232","1,890"
"Mercer County",29129,"60,357","1,873"
"Daviess County",29061,"60,665","1,848"
"Montgomery County",29139,"61,042","1,817"
"Ste. Genevieve County",29186,"61,310","1,789"
"Stone County",29209,"61,323","1,785"
"Maries County",29125,"61,359","1,779"
"Carroll County",29033,"61,712","1,749"
"Linn County",29115,"61,975","1,721"
"Ralls County",29173,"62,054","1,712"
"Caldwell County",29025,"62,520","1,675"
"Howard County",29089,"62,628","1,662"
"Camden County",29029,"62,927","1,634"
"Chariton County",29041,"63,307","1,599"
"Perry County",29157,"63,356","1,597"
"Marion County",29127,"63,908","1,553"
"Newton County",29145,"64,583","1,493"
"Gasconade County",29073,"65,096","1,413"
"Moniteau County",29135,"65,161","1,409"
"Pulaski County",29169,"66,435","1,318"
"Johnson County",29101,"67,123","1,277"
"Jackson County",29095,"67,178","1,272"
"Cooper County",29053,"67,548","1,243"
"Scotland County",29199,"67,568","1,240"
"Cape Girardeau County",29031,"68,912","1,129"
"DeKalb County",29063,"69,093","1,114"
"Webster County",29225,"69,731","1,078"
"Boone County",29019,"69,913","1,062"
"Clinton County",29049,"70,625","1,001"
"Franklin County",29071,"71,973","898"
"Ray County",29177,"72,152","890"
"Callaway County",29027,"72,645","843"
"Cole County",29051,"73,273","799"
"Andrew County",29003,"74,007","769"
"Osage County",29151,"75,355","696"
"Warren County",29219,"77,989","579"
"Lafayette County",29107,"79,091","543"
"Jefferson County",29099,"80,522","489"
"Christian County",29043,"81,245","468"
"St. Louis County",29189,"81,340","462"
"Lincoln County",29113,"85,276","354"
"Clay County",29047,"86,150","333"
"Cass County",29037,"87,413","303"
"Platte County",29165,"95,748","187"
"St. Charles County",29183,"102,912","121"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 2/25/2026. Available from https://hdpulse.nimhd.nih.gov

Notes:
"NA: Data not available [http://hdpulse.nimhd.nih.gov/data/datanotavailable.html] for this combination of geography, cancer site, age, and race/ethnicity."
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income (Median household income), see the dictionary at http://hdpulse.nimhd.nih.gov/dictionary.php#income."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
