Population (Age 65 and over) for Missouri by County
"All Races (includes Hispanic/Latino), Both Sexes, 2019-2023"
Sorted by Value

County,FIPS,Value (Percent),People (Age 65 And Over),Rank within US (of 3143 counties)
"United States",00000,16.8,55970047,"N/A"
"Missouri",29000,17.5,1079129,"23 of 52"
"Pulaski County",29169,9.6,5169,"3,120"
"Johnson County",29101,12.9,7013,"2,983"
"Boone County",29019,13.1,24330,"2,964"
"Lincoln County",29113,14.3,8815,"2,833"
"Clay County",29047,14.9,38061,"2,744"
"St. Louis City",29510,14.9,43622,"2,744"
"Adair County",29001,15.2,3823,"2,701"
"Jackson County",29095,15.5,111391,"2,640"
"Platte County",29165,15.7,17091,"2,609"
"Webster County",29225,15.7,6249,"2,609"
"Jasper County",29097,15.8,19570,"2,586"
"McDonald County",29119,15.8,3706,"2,586"
"Jefferson County",29099,16.1,36770,"2,534"
"Christian County",29043,16.3,14875,"2,495"
"Moniteau County",29135,16.4,2507,"2,467"
"St. Charles County",29183,16.4,67389,"2,467"
"Phelps County",29161,16.8,7551,"2,373"
"Greene County",29077,16.9,50744,"2,348"
"St. Francois County",29187,16.9,11304,"2,348"
"Buchanan County",29021,17.1,14335,"2,293"
"Pettis County",29159,17.1,7407,"2,293"
"Randolph County",29175,17.1,4197,"2,293"
"Cape Girardeau County",29031,17.2,14172,"2,277"
"Nodaway County",29147,17.3,3632,"2,252"
"Callaway County",29027,17.4,7733,"2,221"
"Saline County",29195,17.4,4039,"2,221"
"Washington County",29221,17.4,4097,"2,221"
"Cass County",29037,17.5,19108,"2,196"
"Cole County",29051,17.5,13493,"2,196"
"Osage County",29151,17.8,2376,"2,122"
"Pemiscot County",29155,17.8,2707,"2,122"
"Warren County",29219,17.9,6521,"2,093"
"Laclede County",29105,18.0,6510,"2,064"
"Lawrence County",29109,18.1,6946,"2,034"
"Polk County",29167,18.1,5815,"2,034"
"Mississippi County",29133,18.3,2213,"1,968"
"Clinton County",29049,18.4,3916,"1,938"
"Scott County",29201,18.4,6995,"1,938"
"Dunklin County",29069,18.5,5138,"1,902"
"Franklin County",29071,18.5,19517,"1,902"
"Audrain County",29007,18.6,4583,"1,871"
"DeKalb County",29063,18.7,2092,"1,845"
"Gentry County",29075,18.7,1166,"1,845"
"Marion County",29127,18.7,5320,"1,845"
"Newton County",29145,18.7,11101,"1,845"
"St. Louis County",29189,18.7,186150,"1,845"
"Pike County",29163,18.8,3319,"1,812"
"Ray County",29177,18.8,4343,"1,812"
"Lafayette County",29107,18.9,6240,"1,772"
"Lewis County",29111,18.9,1877,"1,772"
"Schuyler County",29197,18.9,763,"1,772"
"Madison County",29123,19.0,2406,"1,737"
"Scotland County",29199,19.0,892,"1,737"
"Cooper County",29053,19.1,3217,"1,716"
"Bates County",29013,19.2,3101,"1,694"
"Butler County",29023,19.3,8123,"1,663"
"Perry County",29157,19.3,3660,"1,663"
"Miller County",29131,19.5,4886,"1,606"
"New Madrid County",29143,19.6,3137,"1,573"
"Wright County",29229,19.8,3703,"1,519"
"Howard County",29089,19.9,2019,"1,472"
"Howell County",29091,19.9,7977,"1,472"
"Livingston County",29117,19.9,2858,"1,472"
"Caldwell County",29025,20.0,1779,"1,434"
"Carter County",29035,20.1,1061,"1,396"
"Ripley County",29181,20.2,2168,"1,354"
"Montgomery County",29139,20.4,2332,"1,300"
"Stoddard County",29207,20.4,5817,"1,300"
"Vernon County",29217,20.4,4021,"1,300"
"Sullivan County",29211,20.5,1213,"1,272"
"Andrew County",29003,20.6,3722,"1,240"
"Bollinger County",29017,20.7,2190,"1,214"
"Crawford County",29055,20.7,4745,"1,214"
"Barton County",29011,20.8,2433,"1,178"
"Dallas County",29059,20.8,3605,"1,178"
"Ste. Genevieve County",29186,20.8,3866,"1,178"
"Texas County",29215,20.9,5204,"1,146"
