table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Missouri: April 1, 2020 to July 1, 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Area,"April 1, 2020 Estimates Base",Population Estimate (as of July 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020,2021,2022,2023,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,"6,154,854","6,154,744","6,171,374","6,179,414","6,208,038","6,245,466",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Adair County, Missouri","25,316","25,272","25,188","25,155","25,231","25,660",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Andrew County, Missouri","18,130","18,102","18,015","18,008","18,109","18,091",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Atchison County, Missouri","5,302","5,305","5,210","5,163","5,116","5,139",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Audrain County, Missouri","24,960","24,781","24,858","24,455","24,342","24,304",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Barry County, Missouri","34,529","34,542","34,762","34,931","35,310","35,618",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Barton County, Missouri","11,638","11,623","11,670","11,695","11,743","11,717",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Bates County, Missouri","16,037","16,053","16,099","16,156","16,226","16,394",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Benton County, Missouri","19,394","19,425","19,940","20,216","20,560","20,614",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Bollinger County, Missouri","10,567","10,555","10,582","10,510","10,536","10,610",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Boone County, Missouri","183,608","184,050","186,132","187,743","190,138","192,154",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Buchanan County, Missouri","84,794","84,472","83,636","82,956","83,201","83,574",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Butler County, Missouri","42,128","42,063","42,163","42,150","41,910","41,814",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Caldwell County, Missouri","8,810","8,821","8,900","8,939","8,976","9,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Callaway County, Missouri","44,290","44,346","44,655","44,760","44,818","45,126",,,,,,,,,,,,,,,,,,,,,,,,,,,
".Camden County, Missouri","42,745","42,807","43,513","43,779","44,099","44,135",,,,,,,,,,,,,,,,,,,,,,,,,,,
