County,County FIPS Code,2022 Covid Infections,2022 Covid Deaths,2022 Population Estimate,2022 Real GDP,Average Household Income,Covid Infections Per Capita,Covid Deaths Per Capita
ST LOUIS,29189.0,124171,358,991881,89147507,81340,0.12518739647195581,0.0003609303938678128
JACKSON,29095.0,79621,207,716580,50118029,67178,0.11111250662870858,0.00028887214267771916
ST CHARLES,29183.0,48803,49,414055,19607818,102912,0.1178659839876345,0.00011834176619048193
GREENE,29077.0,33739,75,303336,18163171,57488,0.1112264947121344,0.0002472505736213308
ST LOUIS CITY,29510.0,32679,31,286292,31193060,55279,0.11414569739985748,0.00010828105570536376
CLAY,29047.0,28200,48,257037,13662294,86150,0.1097118313705809,0.00018674354275843556
JEFFERSON,29099.0,26023,62,229268,5241427,80522,0.11350471936772685,0.0002704258771394176
BOONE,29019.0,23705,0,187743,9997270,69913,0.1262630297800717,0.0
JASPER,29097.0,14283,31,123969,5475966,57525,0.11521428744282845,0.00025006251562890725
CASS,29037.0,11391,14,110345,2962114,87413,0.10323077620191218,0.00012687480175812226
FRANKLIN,29071.0,10984,12,105865,4861575,71973,0.1037547820337222,0.00011335191045199074
BUCHANAN,29021.0,10902,12,82956,4958412,59423,0.13141906552871402,0.00014465499783017504
PLATTE,29165.0,10896,28,110593,7448432,95748,0.09852341468266526,0.0002531805810494335
CHRISTIAN,29043.0,9324,0,93130,1932155,81245,0.10011811446365296,0.0
ST FRANCOIS,29187.0,8856,0,66938,1736264,54813,0.13230153276166004,0.0
COLE,29051.0,8495,0,76977,5468493,73273,0.1103576392948543,0.0
CAPE GIRARDEAU,29031.0,8194,0,82940,4172513,68912,0.09879430913913673,0.0
LINCOLN,29113.0,6522,13,63184,1311139,85276,0.10322233476829577,0.00020574829070650797
PETTIS,29159.0,5851,0,43381,2217104,60232,0.13487471473686638,0.0
TANEY,29213.0,5686,0,56736,2742818,58258,0.10021855611957135,0.0
JOHNSON,29101.0,5462,0,54423,1933326,67123,0.1003619793102181,0.0
CALLAWAY,29027.0,5298,0,44760,1854247,72645,0.11836461126005363,0.0
SCOTT,29201.0,5130,0,37869,1687685,58847,0.13546700467400777,0.0
NEWTON,29145.0,5058,0,60107,2218345,64583,0.08414993262016071,0.0
PHELPS,29161.0,5001,0,45301,1619824,55427,0.11039491401955806,0.0
PULASKI,29169.0,4530,0,53824,2215320,66435,0.08416319857312723,0.0
BUTLER,29023.0,4192,0,42150,1505374,49213,0.09945432977461448,0.0
HOWELL,29091.0,3924,0,40612,1299482,49814,0.09662168817098395,0.0
DUNKLIN,29069.0,3671,0,27444,755430,47368,0.13376329981052323,0.0
POLK,29167.0,3668,0,32669,869722,56686,0.1122776944503964,0.0
WEBSTER,29225.0,3624,0,40369,863915,69731,0.08977185464093736,0.0
WARREN,29219.0,3613,0,37292,887014,77989,0.09688405019843398,0.0
CAMDEN,29029.0,3563,0,43779,1674707,62927,0.08138605267365633,0.0
MARION,29127.0,3375,0,28489,1217940,63908,0.11846677665063708,0.0
LACLEDE,29105.0,3366,0,36330,1540295,50825,0.09265070189925681,0.0
LAWRENCE,29109.0,3193,0,38672,962195,55849,0.0825661977658254,0.0
LAFAYETTE,29107.0,2933,0,32937,864068,79091,0.08904879011446094,0.0
HENRY,29083.0,2796,0,22404,747657,56621,0.12479914301017675,0.0
BARRY,29009.0,2782,0,34931,1670153,56611,0.0796427242277633,0.0
NODAWAY,29147.0,2701,0,20690,746344,55970,0.1305461575640406,0.0
RANDOLPH,29175.0,2579,0,24619,1291190,55310,0.10475648889069418,0.0
ADAIR,29001.0,2434,0,25155,818197,56583,0.09676008745776188,0.0
SALINE,29195.0,2428,0,23016,948119,56566,0.10549183176920403,0.0
VERNON,29217.0,2337,0,19608,802593,54519,0.11918604651162791,0.0
STONE,29209.0,2297,0,32137,793334,61323,0.07147524660049165,0.0
MILLER,29131.0,2295,0,25384,719602,55172,0.09041128269776237,0.0
CRAWFORD,29055.0,2219,0,22622,708220,56345,0.09809035452214658,0.0
WASHINGTON,29221.0,2211,0,23389,408086,51886,0.09453161742699559,0.0
AUDRAIN,29007.0,2186,0,24455,858374,56232,0.08938867307299121,0.0
STODDARD,29207.0,2134,0,28366,1152276,54067,0.0752309102446591,0.0
RAY,29177.0,2115,0,23119,482233,72152,0.09148319563994982,0.0
MCDONALD,29119.0,1972,0,23623,840273,48145,0.08347796638868898,0.0
TEXAS,29215.0,1929,0,25298,525032,48055,0.07625108704245395,0.0
CLINTON,29049.0,1850,0,21339,427611,70625,0.08669572144899011,0.0
MORGAN,29141.0,1637,0,21781,600764,49663,0.0751572471420045,0.0
